RecId,FIPSCode,RecordCount2020,RecordCount2021,TIV2020,TIV2021,DifferenceTIV,DifferenceRecordCount,Bucket
223,40041,0,2,0,280410,280410,2,1
224,40049,0,4,0,280425,280425,4,1
225,05119,1,2,275278,287774,12496,1,1
226,40031,0,3,0,292005,292005,3,1
227,13225,4,2,378620,292448,-86172,-2,1
228,48199,0,3,0,300469,300469,3,1
229,18133,0,1,0,305660,305660,1,1
230,37143,0,2,0,316200,316200,2,1
231,48005,0,2,0,324000,324000,2,1
232,17197,1,2,137982,326171,188189,1,1
233,13113,0,1,0,329396,329396,1,1
234,37133,1,2,62580,329400,266820,1,1
235,39045,0,4,0,331095,331095,4,1
236,37179,0,1,0,332004,332004,1,1
237,36077,1,1,323610,332478,8868,0,1
238,45043,2,3,230000,338500,108500,1,1
239,34041,0,1,0,345000,345000,1,1
240,29029,0,1,0,351135,351135,1,1
241,17097,0,2,0,355350,355350,2,1
242,47017,3,3,598000,358800,-239200,0,1
243,09005,3,1,1449810,363097,-1086713,-2,1
244,40131,0,3,0,367107,367107,3,1
245,13217,1,2,62370,368651,306281,1,1
246,17021,0,2,0,375000,375000,2,1
247,48245,8,5,690800,379750,-311050,-3,1
248,42081,3,7,116893,380730,263837,4,1
249,47151,2,2,360000,390000,30000,0,1
250,40047,0,4,0,394099,394099,4,1
251,45007,1,5,66710,395920,329210,4,1
252,13193,0,2,0,400000,400000,2,1
253,29165,0,2,0,402675,402675,2,1
254,42089,3,1,390318,402800,12482,-2,1
255,40013,0,3,0,406018,406018,3,1
256,34005,1,2,96900,424800,327900,1,1
257,18085,2,2,426530,426530,0,0,1
258,48039,2,3,240800,440900,200100,1,1
259,40113,0,2,0,444600,444600,2,1
260,51169,7,5,507662,459325,-48337,-2,1
261,48367,0,3,0,465000,465000,3,1
262,01089,0,5,0,469500,469500,5,1
263,45079,4,3,328010,470280,142270,-1,1
264,28109,4,4,478000,478000,0,0,1
265,37081,0,2,0,478868,478868,2,1
266,37119,1,3,126300,488360,362060,2,1
267,40147,0,6,0,492740,492740,6,1
268,42107,5,5,905112,507273,-397839,0,1
269,22015,0,5,0,518175,518175,5,1
270,25009,0,1,0,519000,519000,1,1
271,01069,0,6,0,521567,521567,6,1
272,48139,0,2,0,540913,540913,2,1
273,21093,0,4,0,559100,559100,4,1
274,36105,0,1,0,575000,575000,1,1
275,42047,5,2,1851112,588400,-1262712,-3,1
276,40137,0,8,0,602508,602508,8,1
277,47179,0,9,0,622800,622800,9,1
278,13063,4,3,683708,626224,-57484,-1,1
279,48411,23,9,2187900,634270,-1553630,-14,1
280,42079,3,3,624862,649250,24388,0,1
281,28033,1,5,82428,649733,567305,4,1
282,17129,0,6,0,708900,708900,6,1
283,48061,0,7,0,712500,712500,7,1
284,37051,3,5,490800,720124,229324,2,1
285,13223,0,7,0,729006,729006,7,1
286,37071,1,4,127208,737200,609992,3,1
287,13227,0,4,0,740897,740897,4,1
288,40091,0,2,0,767660,767660,2,1
289,29039,0,5,0,769700,769700,5,1
290,42097,3,4,371030,772093,401063,1,1
291,13059,0,3,0,777300,777300,3,1
292,51520,5,7,740387,779002,38615,2,1
293,36063,0,8,0,788650,788650,8,1
294,13057,0,6,0,795363,795363,6,1
295,13135,1,2,630000,823529,193529,1,1
296,36001,0,3,0,840652,840652,3,1
297,47101,0,1,0,841255,841255,1,1
298,45053,3,5,618700,857800,239100,2,1
299,48415,14,14,860160,860160,0,0,1
300,51027,15,10,883487,862662,-20825,-5,1
301,48409,0,4,0,864000,864000,4,1
302,28121,0,1,0,870000,870000,1,1
303,37063,0,9,0,891610,891610,9,1
304,36095,1,1,902117,902117,0,0,1
305,47089,0,3,0,912000,912000,3,1
306,01121,0,6,0,943688,943688,6,1
307,51051,7,12,150950,944605.4,793655.4,5,1
308,42123,7,10,895061,957279,62218,3,1
309,34025,5,11,179400,999068,819668,6,1
310,47113,0,11,0,1009800,1009800,11,1
311,40153,0,9,0,1055880,1055880,9,1
312,28087,4,5,880600,1059600,179000,1,1
313,17161,0,7,0,1067750,1067750,7,1
314,42095,4,4,1032937,1069711,36774,0,1
315,37191,9,3,1664580,1070000,-594580,-6,1
316,48291,12,12,930000,1072500,142500,0,1
317,17017,0,2,0,1082202,1082202,2,1
318,34027,1,3,525000,1091000,566000,2,1
319,48213,0,6,0,1106320,1106320,6,1
320,51195,3,6,2235600,1109475,-1126125,3,1
321,29510,1,8,294786,1117350,822564,7,1
322,40051,0,7,0,1136600,1136600,7,1
323,45071,2,2,220920,1180000,959080,0,1
324,29047,0,5,0,1194090,1194090,5,1
325,42065,4,5,1158000,1221550,63550,1,1
326,51021,10,6,1571076,1231475,-339601,-4,1
327,37195,6,6,959580,1242735,283155,0,1
328,48375,6,8,1035000,1245600,210600,2,1
329,40151,0,13,0,1271900,1271900,13,1
330,18141,13,13,1277640,1277640,0,0,1
331,48397,0,3,0,1302334,1302334,3,1
332,42117,12,11,1267977,1331076,63099,-1,1
333,40095,0,6,0,1339856,1339856,6,1
334,39049,13,12,1484748,1382232,-102516,-1,1
335,47125,0,6,0,1440185,1440185,6,1
336,42103,3,4,1171550,1456731,285181,1,1
337,51185,18,15,1802841,1464463,-338378,-3,1
338,13015,0,1,0,1475000,1475000,1,1
339,42133,8,9,1964787,1531418,-433369,1,1
340,13255,0,8,0,1553769,1553769,8,1
341,21177,0,24,0,1559470,1559470,24,1
342,47031,0,3,0,1559720,1559720,3,1
343,48423,0,10,0,1572280,1572280,10,1
344,21117,0,16,0,1582415,1582415,16,1
345,01101,2,10,241690,1589662,1347972,8,1
346,51610,7,7,132530,1593438,1460908,0,1
347,42061,10,11,1160448,1595580,435132,1,1
348,42025,5,5,1563312,1620562,57250,0,1
349,47093,37,10,3360240,1630490,-1729750,-27,1
350,22017,0,18,0,1640673,1640673,18,1
351,13231,1,7,189280,1687224,1497944,6,1
352,21213,0,10,0,1713600,1713600,10,1
353,45083,3,17,331039,1732069,1401030,14,1
354,18035,0,14,0,1781963,1781963,14,1
355,34035,0,3,0,1788000,1788000,3,1
356,36027,1,2,620000,1790080,1170080,1,1
357,09015,8,8,1723635,1793525,69890,0,1
358,39153,0,12,0,1804736,1804736,12,1
359,48227,0,16,0,1818442,1818442,16,1
360,45015,9,15,1107840,1851600,743760,6,1
361,01117,0,8,0,1888850,1888850,8,1
362,47161,1,19,285000,1923345,1638345,18,1
363,01115,0,10,0,2003448,2003448,10,1
364,36083,1,9,607000,2030817,1423817,8,1
365,51131,7,16,111317,2039347,1928030,9,1
366,18039,15,15,2040702,2040702,0,0,1
367,22071,1,6,300000,2049000,1749000,5,1
368,48497,0,14,0,2139640,2139640,14,1
369,34033,0,3,0,2159000,2159000,3,1
370,21141,0,31,0,2206515,2206515,31,1
371,42121,13,14,2378974,2221748,-157226,1,1
372,21111,6,16,1067880,2225102,1157222,10,1
373,40071,0,24,0,2228690,2228690,24,1
374,24047,5,5,2382277,2257277,-125000,0,1
375,51001,8,14,1200727,2343871,1143144,6,1
376,22033,0,16,0,2377658,2377658,16,1
377,39095,7,28,567784,2405386,1837602,21,1
378,48381,19,20,2292450,2492450,200000,1,1
379,48333,59,34,4367610,2531045,-1836565,-25,1
380,36055,0,11,0,2531827,2531827,11,1
381,51191,17,13,2551130,2570168,19038,-4,1
382,18003,0,19,0,2617610,2617610,19,1
